Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Arrives Before Christmas (product.metafields.custom.arrives_before_christmas),info_meta_text (product.metafields.custom.info_meta_text),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Color (product.metafields.shopify.color-pattern),Recommended age group (product.metafields.shopify.recommended-age-group),Riding toy propulsion type (product.metafields.shopify.riding-toy-propulsion-type),Toy/Game material (product.metafields.shopify.toy-game-material),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,Available Qty,Vendor SKU,enable_best_price (product.metafields.custom.enable_best_price)
1-seaters-ride-on-car-truck-battery-power-kids-electric-car-with-remote-12v-12709,"12V Kids Electric Ride-On Car Truck with Remote Control, Single Seater Battery-Powered Vehicle","<p>The 12V Kids Electric <a href=""https://www.magiccars.com/"" target=""_blank"">Ride-On</a> Car Truck with Remote Control is a thrilling adventure on wheels designed especially for your little driver. This single-seater, battery-powered vehicle brings the joy and excitement of driving a real car or truck right into your backyard or park. Whether your child chooses to take the wheel manually or you prefer to guide them safely with the included remote control, this ride-on offers endless fun and peace of mind for parents.</p>

<p>Imagine the sparkle in your child's eyes as they zoom around in their very own ride-on car or truck, feeling the wind in their hair and the thrill of steering their own adventure. Crafted with high-quality materials and meeting ASTM safety certifications, this ride-on toy ensures durability and safety, so your little one can enjoy countless hours of play with confidence.</p>

<h3>Unmatched Features for Endless Fun</h3>
<ul>
<li><strong>Powerful 12V Battery:</strong> Offers a safe yet exciting speed of",housepro,Spare parts,Toys & Hobbies,"Electronic, Battery & Wind-Up, Ride On Toys & Accessories, Battery Operated, 1990-Now, Toys & Hobbies",1,Color,Pink,,Warranty,None - $0,,Custome License Plate,None - $0,,25-06101,2.4,shopify,deny,manual,138.99,,TRUE,TRUE,353265188564,,1,,FALSE,,,,,,353265188564,New,,,B72,,,,,,,,,,,,,,,,https://nbp-res.bytopo.com/20240418/sl_RFSLP2404180033218_99999999.jpg,lb,,97.29,active,1,127098911830,TRUE
1-seaters-ride-on-car-truck-battery-power-kids-electric-car-with-remote-12v-12709,,,,,,,,,Pink,,,None - $0,,,Custom License Plate - $39,,25-06102,2.4,shopify,deny,manual,177.99,,TRUE,TRUE,353265322418,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nbp-res.bytopo.com/20240418/sl_RFSLP2404180033218_99999999.jpg,lb,,97.29,,,,
1-seaters-ride-on-car-truck-battery-power-kids-electric-car-with-remote-12v-12709,,,,,,,,,Pink,,,1 Year Warranty - $89,,,None - $0,,25-06103,2.4,shopify,deny,manual,227.99,,TRUE,TRUE,353265566522,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nbp-res.bytopo.com/20240418/sl_RFSLP2404180033218_99999999.jpg,lb,,97.29,,,,
1-seaters-ride-on-car-truck-battery-power-kids-electric-car-with-remote-12v-12709,,,,,,,,,Pink,,,1 Year Warranty - $89,,,Custom License Plate - $39,,25-06104,2.4,shopify,deny,manual,266.99,,TRUE,TRUE,346287968436,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nbp-res.bytopo.com/20240418/sl_RFSLP2404180033218_99999999.jpg,lb,,97.29,,,,
1-seaters-ride-on-car-truck-battery-power-kids-electric-car-with-remote-12v-12709,,,,,,,,,Purple,,,None - $0,,,None - $0,,25-06105,2.4,shopify,deny,manual,138.99,,TRUE,TRUE,353265111104,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nbp-res.bytopo.com/20240418/sl_RFSLP2404180033216_99999999.jpg,lb,,97.29,,,,
1-seaters-ride-on-car-truck-battery-power-kids-electric-car-with-remote-12v-12709,,,,,,,,,Purple,,,None - $0,,,Custom License Plate - $39,,25-06106,2.4,shopify,deny,manual,177.99,,TRUE,TRUE,353265943491,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nbp-res.bytopo.com/20240418/sl_RFSLP2404180033216_99999999.jpg,lb,,97.29,,,,
1-seaters-ride-on-car-truck-battery-power-kids-electric-car-with-remote-12v-12709,,,,,,,,,Purple,,,1 Year Warranty - $89,,,None - $0,,25-06107,2.4,shopify,deny,manual,227.99,,TRUE,TRUE,346287905530,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nbp-res.bytopo.com/20240418/sl_RFSLP2404180033216_99999999.jpg,lb,,97.29,,,,
1-seaters-ride-on-car-truck-battery-power-kids-electric-car-with-remote-12v-12709,,,,,,,,,Purple,,,1 Year Warranty - $89,,,Custom License Plate - $39,,25-06108,2.4,shopify,deny,manual,266.99,,TRUE,TRUE,353265886972,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nbp-res.bytopo.com/20240418/sl_RFSLP2404180033216_99999999.jpg,lb,,97.29,,,,
1-seaters-ride-on-car-truck-battery-power-kids-electric-car-with-remote-12v-12709,,,,,,,,,Black,,,None - $0,,,None - $0,,25-06109,2.4,shopify,deny,manual,138.99,,TRUE,TRUE,353265918666,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nbp-res.bytopo.com/20240418/sl_RFSLP2404180033217_99999999.jpg,lb,,97.29,,,,
1-seaters-ride-on-car-truck-battery-power-kids-electric-car-with-remote-12v-12709,,,,,,,,,Black,,,None - $0,,,Custom License Plate - $39,,25-06110,2.4,shopify,deny,manual,177.99,,TRUE,TRUE,346287876434,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nbp-res.bytopo.com/20240418/sl_RFSLP2404180033217_99999999.jpg,lb,,97.29,,,,
